sell_branch
ceo_said
said_buy
plan_branch
investor_meeting
branch_closed
cut_cost
earnings_release
fund_allocation
branch_cut
cut_branch
bank_closing
job_cut
closed_bank
bad_loan
closing_branch
branch_new
bank_cut
cut_job
closed_branch
financial_crisis
branch_closure
close_branch
deal_company
preferred_bidder
payment_company
sell_asset
company_deal
financial_deal
mass_layoff
added_job
job_growth
involuntary_layoff
percent_cut
number_layoff
layoff_company
planned_cut
thousand_job
workforce_reduction
sector_layoff
plant_closure
layoff_worker
plan_layoff
employee_layoff
spending_cut
cut_percent
planned_layoff
job_opening
budget_cut
percent_workforce
acquire_company
agreement_acquire
announces_new
bank_new
board_director
branch_open
brief_acquire
company_acquire
deadline_extended
declined_comment
firm_acquire
group_acquire
inc_acquisition
joint_venture
launch_new
merger_acquisition
new_bank
new_brand
new_business
new_chief
new_product
new_reuters
new_rule
open_new
opened_branch
opening_branch
opening_new
operating_profit
plan_new
receives_approval
said_open
