sell_branch
ceo_said
said_buy
branch_closed
cut_cost
earnings_release
fund_allocation
branch_cut
cut_branch
bank_closing
job_cut
closed_bank
bad_loan
closing_branch
branch_new
bank_cut
cut_job
closed_branch
financial_crisis
branch_closure
close_branch
payment_company
mass_layoff
involuntary_layoff
percent_cut
number_layoff
layoff_company
planned_cut
thousand_job
workforce_reduction
sector_layoff
layoff_worker
plan_layoff
employee_layoff
spending_cut
cut_percent
planned_layoff
budget_cut
percent_workforce
acquire_company
agreement_acquire
brief_acquire
company_acquire
